"episode","first","references"
"S03E05","Bronn",0
"S03E06","Bronn",0
"S03E07","Bronn",0
"S03E08","Bronn",0
"S03E09","Bronn",0
"S03E10","Bronn",0
"S04E01","Bronn",0
"S04E02","Bronn",1
"S04E03","Bronn",1
"S04E04","Bronn",0
"S04E05","Bronn",0
"S04E06","Bronn",0
"S04E07","Bronn",2
"S04E08","Bronn",0
"S04E09","Bronn",0
"S04E10","Bronn",0
"S05E01","Bronn",0
"S05E02","Bronn",1
"S05E03","Bronn",0
"S05E04","Bronn",0
"S05E05","Bronn",0
"S05E06","Bronn",0
"S05E07","Bronn",0
"S05E08","Bronn",0
"S05E09","Bronn",3
"S05E10","Bronn",0
"S06E01","Bronn",0
"S06E02","Bronn",0
"S06E03","Bronn",0
"S06E04","Bronn",0
"S06E05","Bronn",0
"S06E06","Bronn",1
"S06E07","Bronn",0
"S06E08","Bronn",0
"S06E09","Bronn",0
"S06E10","Bronn",1
"S07E01","Bronn",0
"S07E02","Bronn",0
"S07E03","Bronn",0
"S07E04","Bronn",6
"S07E05","Bronn",2
"S07E06","Bronn",0
"S07E07","Bronn",4
"S01E01","Catelyn",0
"S01E02","Catelyn",0
"S01E03","Catelyn",2
"S01E04","Catelyn",1
"S01E05","Catelyn",0
"S01E06","Catelyn",1
"S01E07","Catelyn",3
"S01E08","Catelyn",3
"S01E09","Catelyn",0
"S01E10","Catelyn",0
"S02E01","Catelyn",0
"S02E02","Catelyn",0
"S02E03","Catelyn",3
"S02E04","Catelyn",0
"S02E05","Catelyn",1
"S02E06","Catelyn",1
"S02E07","Catelyn",0
"S02E08","Catelyn",0
"S02E09","Catelyn",0
"S02E10","Catelyn",2
"S03E01","Catelyn",0
"S03E02","Catelyn",0
"S03E03","Catelyn",2
"S03E04","Catelyn",1
"S03E05","Catelyn",0
"S03E06","Catelyn",0
"S03E07","Catelyn",1
"S03E08","Catelyn",0
"S03E09","Catelyn",0
"S03E10","Catelyn",0
"S04E01","Catelyn",0
"S04E02","Catelyn",1
"S04E03","Catelyn",0
"S04E04","Catelyn",4
"S04E05","Catelyn",0
"S04E06","Catelyn",0
"S04E07","Catelyn",2
"S04E08","Catelyn",1
"S04E09","Catelyn",0
"S04E10","Catelyn",0
"S05E01","Catelyn",0
"S05E02","Catelyn",1
"S05E03","Catelyn",1
"S05E04","Catelyn",0
"S05E05","Catelyn",1
"S05E06","Catelyn",0
"S05E07","Catelyn",0
"S05E08","Catelyn",0
"S05E09","Catelyn",0
"S05E10","Catelyn",0
"S06E01","Catelyn",0
"S06E02","Catelyn",0
"S06E03","Catelyn",1
"S06E04","Catelyn",0
"S06E05","Catelyn",0
"S06E06","Catelyn",0
"S06E07","Catelyn",0
"S06E08","Catelyn",5
"S06E09","Catelyn",0
"S06E10","Catelyn",1
"S07E01","Catelyn",0
"S07E02","Catelyn",1
"S07E03","Catelyn",0
"S07E04","Catelyn",1
"S07E05","Catelyn",0
"S07E06","Catelyn",2
"S07E07","Catelyn",0
"S01E01","Cersei",0
"S01E02","Cersei",0
"S01E03","Cersei",1
"S01E04","Cersei",0
"S01E05","Cersei",2
"S01E06","Cersei",0
"S01E07","Cersei",2
"S01E08","Cersei",1
"S01E09","Cersei",3
"S01E10","Cersei",0
"S02E01","Cersei",1
"S02E02","Cersei",2
"S02E03","Cersei",1
"S02E04","Cersei",9
"S02E05","Cersei",0
"S02E06","Cersei",0
"S02E07","Cersei",1
"S02E08","Cersei",1
"S02E09","Cersei",0
"S02E10","Cersei",1
"S03E01","Cersei",0
"S03E02","Cersei",0
"S03E03","Cersei",0
"S03E04","Cersei",0
"S03E05","Cersei",1
"S03E06","Cersei",3
"S03E07","Cersei",0
"S03E08","Cersei",1
"S03E09","Cersei",0
"S03E10","Cersei",1
"S04E01","Cersei",0
"S04E02","Cersei",5
"S04E03","Cersei",1
"S04E04","Cersei",4
"S04E05","Cersei",1
"S04E06","Cersei",2
"S04E07","Cersei",4
"S04E08","Cersei",1
"S04E09","Cersei",0
"S04E10","Cersei",0
"S05E01","Cersei",4
"S05E02","Cersei",8
"S05E03","Cersei",3
"S05E04","Cersei",2
"S05E05","Cersei",0
"S05E06","Cersei",3
"S05E07","Cersei",3
"S05E08","Cersei",0
"S05E09","Cersei",0
"S05E10","Cersei",1
"S06E01","Cersei",0
"S06E02","Cersei",1
"S06E03","Cersei",2
"S06E04","Cersei",1
"S06E05","Cersei",1
"S06E06","Cersei",0
"S06E07","Cersei",1
"S06E08","Cersei",5
"S06E09","Cersei",0
"S06E10","Cersei",4
"S07E01","Cersei",4
"S07E02","Cersei",16
"S07E03","Cersei",7
"S07E04","Cersei",4
"S07E05","Cersei",10
"S07E06","Cersei",7
"S07E07","Cersei",13
"S01E01","Daario",0
"S01E02","Daario",0
"S01E03","Daario",0
"S01E04","Daario",0
"S01E05","Daario",0
"S01E06","Daario",0
"S01E07","Daario",0
"S01E08","Daario",0
"S01E09","Daario",0
"S01E10","Daario",0
"S02E01","Daario",0
"S02E02","Daario",0
"S02E03","Daario",0
"S02E04","Daario",0
"S02E05","Daario",0
"S02E06","Daario",0
"S02E07","Daario",0
"S02E08","Daario",0
"S02E09","Daario",0
"S02E10","Daario",0
"S03E01","Daario",0
"S03E02","Daario",0
"S03E03","Daario",0
"S03E04","Daario",0
"S03E05","Daario",0
"S03E06","Daario",0
"S03E07","Daario",0
"S03E08","Daario",4
"S03E09","Daario",2
"S03E10","Daario",0
"S04E01","Daario",2
"S04E02","Daario",0
"S04E03","Daario",0
"S04E04","Daario",0
"S04E05","Daario",0
"S04E06","Daario",0
"S04E07","Daario",4
"S04E08","Daario",0
"S04E09","Daario",0
"S04E10","Daario",0
"S05E01","Daario",0
"S05E02","Daario",0
"S05E03","Daario",0
"S05E04","Daario",0
"S05E05","Daario",1
"S05E06","Daario",0
"S05E07","Daario",0
"S05E08","Daario",0
"S05E09","Daario",0
"S05E10","Daario",0
"S06E01","Daario",0
"S06E02","Daario",0
"S06E03","Daario",0
"S06E04","Daario",0
"S06E05","Daario",0
"S06E06","Daario",0
"S06E07","Daario",0
"S06E08","Daario",0
"S06E09","Daario",0
"S06E10","Daario",1
"S07E01","Daario",0
"S07E02","Daario",0
"S07E03","Daario",0
"S07E04","Daario",0
"S07E05","Daario",0
"S07E06","Daario",2
"S07E07","Daario",0
"S01E01","Daenerys",4
"S01E02","Daenerys",1
"S01E03","Daenerys",0
"S01E04","Daenerys",0
"S01E05","Daenerys",2
"S01E06","Daenerys",1
